image_name,image_mos
1.jpg,2.916666667
2.jpg,2.833333333
3.jpg,1.916666667
4.jpg,4.666666667
5.jpg,4.916666667
6.jpg,3.916666667
7.jpg,1.916666667
8.jpg,1.166666667
9.jpg,4.166666667
10.jpg,1.25
11.jpg,3.833333333
12.jpg,1.333333333
13.jpg,1.5
14.jpg,1.333333333
15.jpg,1.666666667
16.jpg,1.916666667
17.jpg,1.583333333
18.jpg,1.416666667
19.jpg,1.75
20.jpg,3.916666667
21.jpg,1.833333333
22.jpg,2.333333333
23.jpg,1.166666667
24.jpg,1.666666667
25.jpg,1.416666667
26.jpg,1.916666667
27.jpg,3.916666667
28.jpg,2.75
29.jpg,4.833333333
30.jpg,4.5
31.jpg,2.083333333
32.jpg,1.083333333
33.jpg,1.333333333
34.jpg,4.583333333
35.jpg,1.083333333
36.jpg,1.916666667
37.jpg,3.333333333
38.jpg,2.25
39.jpg,1.416666667
40.jpg,1.5
41.jpg,3.666666667
42.jpg,2
43.jpg,2.333333333
44.jpg,1.25
45.jpg,1.083333333
46.jpg,2.083333333
47.jpg,1.083333333
48.jpg,3.333333333
49.jpg,3.583333333
50.jpg,2
51.jpg,1.916666667
52.jpg,4.833333333
53.jpg,3.916666667
54.jpg,4.75
55.jpg,1.666666667
56.jpg,1.25
57.jpg,4.416666667
58.jpg,3.583333333
59.jpg,4.583333333
60.jpg,1.916666667
61.jpg,2.666666667
62.jpg,3.166666667
63.jpg,1.583333333
64.jpg,4.583333333
65.jpg,2.166666667
66.jpg,1.833333333
67.jpg,1.083333333
68.jpg,3.416666667
69.jpg,2.083333333
70.jpg,1.083333333
71.jpg,1.5
72.jpg,1.416666667
73.jpg,3.666666667
74.jpg,1.5
75.jpg,2.25
76.jpg,4.333333333
77.jpg,1.916666667
78.jpg,2.5
79.jpg,1
80.jpg,1.75
81.jpg,1.833333333
82.jpg,2.416666667
83.jpg,1.833333333
84.jpg,1.5
85.jpg,1.166666667
86.jpg,2.166666667
87.jpg,4.25
88.jpg,4.333333333
89.jpg,1.333333333
90.jpg,2.25
91.jpg,3.166666667
92.jpg,2.916666667
93.jpg,3.416666667
94.jpg,2.916666667
95.jpg,1.75
96.jpg,2.333333333
97.jpg,2.583333333
98.jpg,1.166666667
99.jpg,3.75
100.jpg,1.25
101.jpg,2.666666667
102.jpg,1.166666667
103.jpg,2.166666667
104.jpg,1.416666667
105.jpg,4.416666667
106.jpg,2.333333333
107.jpg,2.583333333
108.jpg,1.416666667
109.jpg,1.833333333
110.jpg,3
111.jpg,1.166666667
112.jpg,4.583333333
113.jpg,4.25
114.jpg,2.416666667
115.jpg,3.166666667
116.jpg,3.083333333
117.jpg,3.916666667
118.jpg,2.5
119.jpg,1.083333333
120.jpg,1.083333333
121.jpg,2.25
122.jpg,1.25
123.jpg,2.25
124.jpg,2.333333333
125.jpg,1.583333333
126.jpg,1.166666667
127.jpg,1.583333333
128.jpg,3.833333333
129.jpg,3.416666667
130.jpg,4.083333333
131.jpg,4.416666667
132.jpg,1.416666667
133.jpg,1.833333333
134.jpg,2.25
135.jpg,4.5
136.jpg,3.666666667
137.jpg,3.75
138.jpg,1.833333333
139.jpg,3.416666667
140.jpg,3.666666667
141.jpg,2.5
142.jpg,2.166666667
143.jpg,3.5
144.jpg,2.833333333
145.jpg,2.75
146.jpg,3.5
147.jpg,1.5
148.jpg,1.083333333
149.jpg,2.166666667
150.jpg,2.416666667
151.jpg,1.333333333
152.jpg,3.583333333
153.jpg,2.75
154.jpg,2.083333333
155.jpg,3.666666667
156.jpg,4.416666667
157.jpg,4.25
158.jpg,4.166666667
159.jpg,2.25
160.jpg,4.166666667
161.jpg,4.166666667
162.jpg,1.166666667
163.jpg,4.416666667
164.jpg,3.583333333
165.jpg,2.25
166.jpg,1.666666667
167.jpg,3.166666667
168.jpg,1.75
169.jpg,1.25
170.jpg,2.833333333
171.jpg,3.333333333
172.jpg,3.416666667
173.jpg,2.166666667
174.jpg,2.083333333
175.jpg,4.083333333
176.jpg,3.25
177.jpg,1.75
178.jpg,1.583333333
179.jpg,3.916666667
180.jpg,1.416666667
181.jpg,2.833333333
182.jpg,2.916666667
183.jpg,3.333333333
184.jpg,1.75
185.jpg,1.333333333
186.jpg,4.916666667
187.jpg,2.25
188.jpg,1.5
189.jpg,1.833333333
190.jpg,1.833333333
191.jpg,1.5
192.jpg,1.916666667
193.jpg,2.916666667
194.jpg,2.25
195.jpg,2.75
196.jpg,1.833333333
197.jpg,1.833333333
198.jpg,1.583333333
199.jpg,4
200.jpg,2.333333333
201.jpg,3.416666667
202.jpg,1.5
203.jpg,1.833333333
204.jpg,2.083333333
205.jpg,1.916666667
206.jpg,1.416666667
207.jpg,1.083333333
208.jpg,1.833333333
209.jpg,1.416666667
210.jpg,1.083333333
211.jpg,4.416666667
212.jpg,2.916666667
213.jpg,1.166666667
214.jpg,2.25
215.jpg,2.083333333
216.jpg,1.166666667
217.jpg,2.75
218.jpg,1.916666667
219.jpg,4
220.jpg,2.416666667
221.jpg,3
222.jpg,2.666666667
223.jpg,2.333333333
224.jpg,4.166666667
225.jpg,1.5
226.jpg,2.25
227.jpg,2.333333333
228.jpg,1.75
229.jpg,1.083333333
230.jpg,2
231.jpg,3.333333333
232.jpg,2.583333333
233.jpg,3.833333333
234.jpg,1.75
235.jpg,1.083333333
236.jpg,2.166666667
237.jpg,1.333333333
238.jpg,1.083333333
239.jpg,2.166666667
240.jpg,1.5
241.jpg,4.166666667
242.jpg,4.416666667
243.jpg,2.833333333
244.jpg,3.75
245.jpg,2.416666667
246.jpg,4
247.jpg,3.5
248.jpg,4.333333333
249.jpg,4.25
250.jpg,1.666666667
251.jpg,1.166666667
252.jpg,1.25
253.jpg,3.666666667
254.jpg,1.75
255.jpg,2.416666667
256.jpg,4.083333333
257.jpg,3.333333333
258.jpg,2
259.jpg,3.75
260.jpg,2
261.jpg,1.75
262.jpg,2.75
263.jpg,4.75
264.jpg,4.416666667
265.jpg,1.083333333
266.jpg,2.166666667
267.jpg,2.75
268.jpg,3.083333333
269.jpg,2.583333333
270.jpg,2.25
271.jpg,2.583333333
272.jpg,2.916666667
273.jpg,3
274.jpg,2.75
275.jpg,4.666666667
276.jpg,2.166666667
277.jpg,1.833333333
278.jpg,4.75
279.jpg,2.166666667
280.jpg,1.666666667
281.jpg,3.083333333
282.jpg,2
283.jpg,1.833333333
284.jpg,1.416666667
285.jpg,1.083333333
286.jpg,3.833333333
287.jpg,1.75
288.jpg,3.75
289.jpg,1.083333333
290.jpg,1.083333333
291.jpg,2.25
292.jpg,2.25
293.jpg,1.333333333
294.jpg,4.5
295.jpg,3.166666667
296.jpg,3.666666667
297.jpg,4.333333333
298.jpg,3.833333333
299.jpg,4.416666667
300.jpg,2.583333333
301.jpg,1.5
302.jpg,2.416666667
303.jpg,1.666666667
304.jpg,1.916666667
305.jpg,2.75
306.jpg,2
307.jpg,2.583333333
308.jpg,3.75
309.jpg,3
310.jpg,4.583333333
311.jpg,1.166666667
312.jpg,2.25
313.jpg,4.25
314.jpg,2.583333333
315.jpg,3
316.jpg,2.416666667
317.jpg,3.75
318.jpg,3.333333333
319.jpg,3.666666667
320.jpg,2.916666667
321.jpg,1.083333333
322.jpg,1.666666667
323.jpg,1.083333333
324.jpg,1.083333333
325.jpg,2
326.jpg,1.416666667
327.jpg,3.75
328.jpg,1.916666667
329.jpg,3.333333333
330.jpg,4.083333333
331.jpg,3.583333333
332.jpg,1.416666667
333.jpg,1.166666667
334.jpg,2.5
335.jpg,3.333333333
336.jpg,3
337.jpg,1.833333333
338.jpg,3.416666667
339.jpg,2.833333333
340.jpg,1.916666667
341.jpg,1.833333333
342.jpg,3.166666667
343.jpg,1.583333333
344.jpg,4
345.jpg,2
346.jpg,3.5
347.jpg,2.666666667
348.jpg,2.75
349.jpg,2.75
350.jpg,1.75
351.jpg,3.333333333
352.jpg,4.583333333
353.jpg,4.25
354.jpg,2.916666667
355.jpg,2.916666667
356.jpg,1.833333333
357.jpg,1.25
358.jpg,2
359.jpg,1.166666667
360.jpg,2.166666667
361.jpg,2.416666667
362.jpg,2.666666667
363.jpg,4
364.jpg,1.916666667
365.jpg,2.166666667
366.jpg,2.75
367.jpg,2
368.jpg,3.25
369.jpg,4.166666667
370.jpg,3.833333333
371.jpg,2.416666667
372.jpg,1.166666667
373.jpg,1.333333333
374.jpg,2.25
375.jpg,3.25
376.jpg,1.833333333
377.jpg,4.166666667
378.jpg,1.333333333
379.jpg,4.333333333
380.jpg,4.5
381.jpg,3.5
382.jpg,1.583333333
383.jpg,3.416666667
384.jpg,4.416666667
385.jpg,1.75
386.jpg,2.75
387.jpg,4.5
388.jpg,2.333333333
389.jpg,2.916666667
390.jpg,2.166666667
391.jpg,1.916666667
392.jpg,4.333333333
393.jpg,1.666666667
394.jpg,1.166666667
395.jpg,1.083333333
396.jpg,3.416666667
397.jpg,4
398.jpg,2.333333333
399.jpg,3.166666667
400.jpg,1.166666667
401.jpg,1.583333333
402.jpg,3.416666667
403.jpg,3
404.jpg,3.583333333
405.jpg,2
406.jpg,3.583333333
407.jpg,1.583333333
408.jpg,3.666666667
409.jpg,4.25
410.jpg,3.916666667
411.jpg,1.833333333
412.jpg,1.833333333
413.jpg,1.083333333
414.jpg,3.666666667
415.jpg,2
416.jpg,2.75
417.jpg,1.416666667
418.jpg,1.916666667
419.jpg,3.333333333
420.jpg,3.916666667
421.jpg,3.833333333
422.jpg,1.833333333
423.jpg,2.166666667
424.jpg,3.75
425.jpg,1.833333333
426.jpg,1.916666667
427.jpg,3.5
428.jpg,3.416666667
429.jpg,2.5
430.jpg,2.166666667
431.jpg,2.333333333
432.jpg,2.5
433.jpg,1.416666667
434.jpg,3.75
435.jpg,2.166666667
436.jpg,3.5
437.jpg,1.083333333
438.jpg,1.666666667
439.jpg,2.083333333
440.jpg,2.5
441.jpg,1.416666667
442.jpg,3.416666667
443.jpg,3.25
444.jpg,2.75
445.jpg,1.583333333
446.jpg,3.25
447.jpg,2.833333333
448.jpg,1.916666667
449.jpg,1.916666667
450.jpg,1.916666667
451.jpg,2.25
452.jpg,1.166666667
453.jpg,1.75
454.jpg,2.583333333
455.jpg,3.25
456.jpg,3.833333333
457.jpg,2.333333333
458.jpg,1.333333333
459.jpg,2.75
